Htno,Subcode,Subname,Grade,Credits
20L31A1949,1005201203,Data Structures,B,3
20L31A1949,1019201200,Digital Logic Design Principles,B,3
20L31A1949,1000201110,Technical English Communication Lab,A,1.5
20L31A1949,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1949,1005201212,Data Structures Lab,B,1.5
20L31A1949,1019201210,IT Workshop,A,1.5
20L31A1949,1000201121,Constitution of India,CP,-
20L31A1950,1000201102,Technical English Communication,A,2
20L31A1950,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1950,1002201202,Network Analysis,D,3
20L31A1950,1005201203,Data Structures,B,3
20L31A1950,1019201200,Digital Logic Design Principles,B,3
20L31A1950,1000201110,Technical English Communication Lab,O,1.5
20L31A1950,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1950,1005201212,Data Structures Lab,A,1.5
20L31A1950,1019201210,IT Workshop,A,1.5
20L31A1950,1000201121,Constitution of India,CP,-
20L31A1951,1000201102,Technical English Communication,B,2
